feat_idx	best_transform	params_csv	r_identity	r_best
545	identity		0.073389	0.073389
546	identity		0.069223	0.069223
547	signed_cbrt		0.045805	-0.054628
548	signed_cbrt		0.023612	-0.072469
549	identity		0.074859	0.074859
550	identity		-0.227210	-0.227210
551	identity		0.149234	0.149234
552	identity		0.045484	0.045484
553	identity		-0.155289	-0.155289
554	identity		-0.202420	-0.202420
555	identity		0.046676	0.046676
556	log1p		-0.015322	-0.030957
557	identity		-0.188181	-0.188181
558	identity		0.073056	0.073056
559	identity		0.068464	0.068464
560	identity		-0.219584	-0.219584
561	identity		0.152810	0.152810
562	identity		0.060341	0.060341
563	identity		0.079809	0.079809
564	identity		-0.233118	-0.233118
565	identity		0.144308	0.144308
566	identity		0.098017	0.098017
567	identity		0.221263	0.221263
568	log1p		-0.068132	-0.075235
569	identity		0.096290	0.096290
570	identity		0.103369	0.103369
571	signed_cbrt		0.105590	0.119657
572	signed_cbrt		-0.024943	-0.088144
573	identity		0.078496	0.078496
574	identity		0.091344	0.091344
575	signed_cbrt		-0.229635	-0.324137
576	signed_cbrt		-0.222408	-0.310808
577	signed_cbrt		-0.206399	-0.304559
578	log1p		-0.486119	-0.491289
579	identity		-0.313554	-0.313554
580	signed_cbrt		0.012832	-0.199458
581	log1p		-0.503578	-0.509358
582	log1p		-0.163716	-0.172278
583	identity		-0.186387	-0.186387
584	signed_cbrt		-0.232893	-0.322319
585	identity		-0.479034	-0.479034
586	identity		-0.469576	-0.469576
587	signed_cbrt		-0.253739	-0.341009
588	log1p		-0.425366	-0.434529
589	identity		-0.342996	-0.342996
590	signed_cbrt		0.033163	-0.178865
591	signed_cbrt		-0.217157	-0.315572
592	identity		-0.508073	-0.508073
593	identity		-0.297492	-0.297492
594	signed_cbrt		0.003689	-0.207015
595	signed_cbrt		-0.120924	-0.198943
596	identity		0.061338	0.061338
597	identity		-0.456732	-0.456732
598	signed_cbrt		-0.129031	-0.200098
599	signed_cbrt		-0.099176	-0.191673
600	identity		-0.188275	-0.188275
601	signed_cbrt		-0.102249	-0.163436
602	identity		-0.237310	-0.237310
603	signed_cbrt		-0.195951	-0.343939
604	identity		0.086739	0.086739
605	identity		0.063575	0.063575
606	identity		0.045619	0.045619
607	identity		0.089542	0.089542
608	identity		-0.216694	-0.216694
609	identity		0.154062	0.154062
610	identity		0.061987	0.061987
611	identity		-0.148065	-0.148065
612	identity		-0.180101	-0.180101
613	identity		0.069494	0.069494
614	log1p		0.004692	-0.012000
615	identity		-0.162960	-0.162960
616	identity		0.090767	0.090767
617	identity		0.083996	0.083996
618	identity		-0.205317	-0.205317
619	identity		0.155879	0.155879
620	identity		0.080460	0.080460
621	identity		0.097955	0.097955
622	identity		-0.215792	-0.215792
623	identity		0.149087	0.149087
624	identity		0.101977	0.101977
625	identity		0.282481	0.282481
626	log1p		-0.028126	-0.037303
627	identity		0.100697	0.100697
628	identity		0.106090	0.106090
629	signed_cbrt		0.125741	0.130819
630	signed_cbrt		-0.020726	-0.096480
631	identity		0.092735	0.092735
632	identity		0.073960	0.073960
633	identity		0.094091	0.094091
634	identity		0.062722	0.062722
635	signed_cbrt		0.050588	-0.073259
636	identity		0.085620	0.085620
637	log1p		-0.247733	-0.255289
638	identity		0.151334	0.151334
639	identity		0.050303	0.050303
640	log1p		-0.212854	-0.218519
641	identity		-0.237492	-0.237492
642	identity		0.078882	0.078882
643	signed_cbrt		-0.016176	-0.058008
644	identity		-0.225464	-0.225464
645	identity		0.096623	0.096623
646	identity		0.083401	0.083401
647	log1p		-0.253204	-0.260421
648	identity		0.154065	0.154065
649	identity		0.086999	0.086999
650	identity		0.083425	0.083425
651	log1p		-0.241993	-0.249214
652	identity		0.148829	0.148829
653	identity		0.097533	0.097533
654	identity		0.224183	0.224183
655	signed_cbrt		-0.038966	-0.065340
656	identity		0.095380	0.095380
657	identity		0.104012	0.104012
658	identity		0.116345	0.116345
659	signed_cbrt		-0.022774	-0.113663
660	identity		0.094630	0.094630
661	identity		0.091344	0.091344
662	signed_cbrt		-0.091966	-0.248083
663	signed_cbrt		-0.130803	-0.266035
664	signed_cbrt		-0.135429	-0.268669
665	signed_cbrt		-0.511146	-0.517498
666	signed_cbrt		-0.187274	-0.272791
667	signed_cbrt		0.041542	-0.167381
668	log1p		-0.549885	-0.557021
669	signed_cbrt		-0.080075	-0.138539
670	log1p		-0.124907	-0.132168
671	signed_cbrt		-0.126275	-0.263022
672	identity		-0.439601	-0.439601
673	identity		-0.461794	-0.461794
674	signed_cbrt		-0.125227	-0.274157
675	identity		-0.486866	-0.486866
676	signed_cbrt		-0.225394	-0.279286
677	signed_cbrt		0.050063	-0.157502
678	signed_cbrt		-0.079501	-0.238322
679	signed_cbrt		-0.510412	-0.524620
680	signed_cbrt		-0.173864	-0.270026
681	signed_cbrt		0.038249	-0.170638
682	signed_cbrt		-0.093332	-0.204483
683	identity		0.043177	0.043177
684	identity		-0.413572	-0.413572
685	signed_cbrt		-0.102301	-0.207559
686	signed_cbrt		-0.072025	-0.194537
687	identity		-0.223156	-0.223156
688	signed_cbrt		-0.086405	-0.184106
689	identity		-0.309144	-0.309144
690	signed_cbrt		-0.195951	-0.343939
691	identity		0.103676	0.103676
692	identity		0.070444	0.070444
693	identity		0.064731	0.064731
694	identity		0.097576	0.097576
695	identity		-0.257894	-0.257894
696	identity		0.154752	0.154752
697	identity		0.066832	0.066832
698	identity		-0.219388	-0.219388
699	identity		-0.206038	-0.206038
700	identity		0.089555	0.089555
701	signed_cbrt		0.004390	-0.041432
702	identity		-0.196933	-0.196933
703	identity		0.107183	0.107183
704	identity		0.095403	0.095403
705	identity		-0.258137	-0.258137
706	identity		0.156374	0.156374
707	identity		0.097467	0.097467
708	identity		0.099193	0.099193
709	log1p		-0.244729	-0.249913
710	identity		0.151161	0.151161
711	identity		0.101305	0.101305
712	identity		0.281601	0.281601
713	signed_cbrt		-0.004305	-0.039605
714	identity		0.099734	0.099734
715	identity		0.106213	0.106213
